award received	Herbert Menges was appointed an Officer of the Order of the British Empire in 1963.	Herbert Menges	Officer of the Order of the British Empire
award received	Oleh Krysa (Ukrainian: Олег Криса; born June 1, 1942) is a Ukrainian American violinist, Merited Artist of Ukraine.	Oleh Krysa	Merited Artist of Ukraine
cast member	They Killed Sister Dorothy is a 2008 documentary film about American-born Brazilian nun Dorothy Stang, who was murdered on February 12, 2005, in Anapu, a city located in the Amazon Rainforest.	They Killed Sister Dorothy	Dorothy Stang
cast member	Prothom Kadam Phool (Bengali: প্রথম কদম ফুল) is a 1969 Bengali film directed by Inder Sen. It stars Tanuja and Soumitra Chatterjee in the lead.	Prothom Kadam Phool	Soumitra Chatterjee
conflict	Private James Pym (1852 -- November 29, 1893) was a British-born soldier in the U.S. Army who served with the 7th U.S. Cavalry during the Great Sioux War of 1876-77.	James Pym	Great Sioux War of 1876
conflict	Leutnant Helmut Dilthey IC (9 February 1894 - 9 July 1918) was a German pilot who became a World War I flying ace credited with seven aerial victories.	Helmut Dilthey	World War I
conflict	Wilburn Chandler Hamilton was a veteran of World War II who decided in 1957 to settle on the island of Saipan.	Wilburn Chandler Hamilton	World War II
conflict	Robert Martin Patterson (born April 16, 1948) is a retired United States Army soldier and a recipient of the United States military's highest decoration--the Medal of Honor--for his actions in the Vietnam War.	Robert Martin Patterson	Vietnam War
conflict	Edwin T. Woodward (March 8, 1843 -- February 22, 1894), was a naval officer during and after the American Civil War.	Edwin T. Woodward	American Civil War
conflict	George Dashiell Bayard (December 18, 1835 -- December 14, 1862) was a career soldier in the United States Army and a general in the Union Army in the American Civil War.	George Dashiell Bayard	American Civil War
conflict	The T-26 was the most important tank of the Spanish Civil War and played a significant role during the Battle of Lake Khasan in 1938 as well as in the Winter War in 1939--40.	T-26	Spanish Civil War
conflict	General Edward Braddock (January 1695 -- 13 July 1755) was a British officer and commander-in-chief for the 13 colonies during the actions at the start of the French and Indian War (1754--1765) which is also known in Europe as the Seven Years' War (1756--1763).	Edward Braddock	French and Indian War
